DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
01M292,Henry Street School for International Studies ,31,391,425,385
01M448,University Neighborhood High School ,60,394,419,387
01M450,East Side Community High School ,69,418,431,402
01M458,SATELLITE ACADEMY FORSYTH ST ,26,385,370,378
01M509,CMSP HIGH SCHOOL ,,,,
